patch,date_initial,time_initial,distance_patch1,distance_patch2,distance_patch3,shoots_q1_cut,shoots_q2_cut,shoots_q3_cut,date_final,time_final,shoots_q1_found,shoots_q2_found,shoots_q3_found
Cooda,2019-07-21,9:30,0.3,1.4,2.9,9,9,4,2019-07-30,9:30,7,5,4
E2,2019-07-21,10:00,0.1,2,3.5,15,17,12,2019-07-30,10:10,12,13,11
E1,2019-07-21,10:30,0.1,2,3.5,10,9,6,2019-07-30,10:50,11,8,4
IMC,2019-07-21,11:00,0.1,0.9,2.4,11,13,8,2019-07-30,11:30,11,11,7
Cow,2019-07-21,11:30,0.2,0.9,2.4,3,5,9,2019-07-30,12:10,3,3,8
New2,2019-07-21,12:00,0.4,1.7,3.2,8,6,5,2019-07-30,12:40,7,6,5
Montreal,2019-07-21,12:30,0,0.7,2.2,10,14,6,2019-07-30,12:40,8,11,0
94North,2019-07-21,13:00,0.1,2,3.5,8,13,14,2019-07-30,13:20,8,9,10
94Urchin,2019-07-21,13:30,0.1,0.8,2.3,14,9,4,2019-07-30,13:20,12,8,4
Damsel,2019-07-21,14:00,0.1,1.6,3.15,13,11,8,2019-07-30,14:10,14,8,5
Shit'sCreek,2019-07-21,14:20,0.4,1.15,2.8,22,17,5,2019-07-30,14:50,19,17,5
NF15,2019-07-21,14:40,0.25,2.3,3.2,4,14,17,2019-07-30,15:30,6,8,11
F5Small,2019-07-22,9:30,0.1,0.6,2.1,7,10,6,2019-07-31,10:00,5,7,7
Angel2,2019-07-22,9:45,0,0.8,2.3,11,24,7,2019-07-31,10:00,10,15,6
85,2019-07-22,10:00,0.1,0.9,2.4,10,16,7,2019-07-31,10:40,8,14,6
NF17,2019-07-22,10:20,0.1,3.5,5,12,13,11,2019-07-31,11:10,11,14,9
Check3,2019-07-22,10:40,0.1,0.9,2.4,10,8,10,2019-07-31,11:40,9,6,10
119,2019-07-22,11:00,0.2,1.5,3,10,24,11,2019-07-31,12:10,9,23,8
71,2019-07-22,11:20,0.6,3.9,5.5,22,15,18,2019-07-31,12:40,15,18,17
LS02,2019-07-22,11:40,0.5,1.2,2.3,29,19,19,2019-07-31,13:10,25,19,20
Check1,2019-07-22,12:00,0.4,2,3.5,12,10,10,2019-07-31,13:40,16,10,8
Check5,2019-07-22,12:30,0.2,2.4,3.7,22,19,15,2019-07-31,14:10,19,14,14
Josh,2019-07-22,13:00,0.3,2.4,3.9,10,11,10,2019-07-31,14:40,9,13,9
FFA,2019-07-22,13:30,0.3,1.1,2.6,18,12,6,2019-07-31,15:10,16,10,6
57,2019-07-24,12:30,0.8,1.7,3.2,20,23,8,2019-08-02,14:50,18,18,8
90Stop,2019-07-24,12:10,0.5,1.2,2.7,14,21,15,2019-08-02,14:10,16,10,14
78S,2019-07-24,11:50,0,1.4,2.7,8,10,6,2019-08-02,13:30,7,11,6
Biscuit,2019-07-24,11:30,0.15,0.75,1.35,13,16,13,2019-08-02,12:50,12,15,14
76S,2019-07-24,11:10,0,0.5,2,22,13,10,2019-08-02,12:10,20,14,12
74Tall,2019-07-24,10:50,0.1,0.85,1.9,5,18,5,2019-08-02,11:30,4,15,6
Lakeisha,2019-07-24,10:30,0,1,2.5,11,9,6,2019-08-02,11:00,6,9,6
96,2019-07-24,10:10,0.2,0.75,2.45,15,16,9,2019-08-02,10:30,15,14,9
Calgary,2019-07-24,9:50,0.1,1.1,2.5,10,11,6,2019-08-02,10:00,12,9,5
Vancouver,2019-07-24,9:50,0.2,1,2.5,9,9,2,2019-08-02,10:00,9,7,2
CT15,2019-07-24,9:30,0.2,1,2.5,19,19,8,2019-08-02,9:30,14,18,6
